Code,Region,Gender,AgeGroup,Number,Population,CI_Proportion_Lower,CI_Proportion_Upper,Proportion (%),Risk_Factor
PHN105,SOUTH WESTERN SYDNEY,Females,75+,11477.29,26203.16,41.8,45.8,43.8,High blood pressure
PHN105,SOUTH WESTERN SYDNEY,Males,18–54,44719.26,244933.2,17.1,19.4,18.26,High blood pressure
PHN105,SOUTH WESTERN SYDNEY,Males,55–74,34678.64,89374.39,37.1,40.5,38.8,High blood pressure
PHN105,SOUTH WESTERN SYDNEY,Males,75+,9776.122,21508.02,43.3,47.6,45.45,High blood pressure
PHN105,SOUTH WESTERN SYDNEY,Persons,18–54,76314.75,495979.7,14.6,16.2,15.39,High blood pressure
PHN105,SOUTH WESTERN SYDNEY,Persons,55–74,66888.67,182267.0,35.3,38.1,36.7,High blood pressure
PHN105,SOUTH WESTERN SYDNEY,Persons,75+,21276.6,47711.18,42.6,46.6,44.6,High blood pressure
PHN106,SOUTH EASTERN NSW,Females,18–54,18424.4,138024.6,12.4,14.3,13.35,High blood pressure
PHN106,SOUTH EASTERN NSW,Females,55–74,26978.18,76040.72,33.7,37.2,35.48,High blood pressure
PHN106,SOUTH EASTERN NSW,Females,75+,11499.36,25854.34,42.3,46.7,44.48,High blood pressure
PHN106,SOUTH EASTERN NSW,Males,18–54,26572.07,135994.0,18.2,20.8,19.54,High blood pressure
PHN106,SOUTH EASTERN NSW,Males,55–74,29708.42,73873.3,38.4,42.1,40.22,High blood pressure
PHN106,SOUTH EASTERN NSW,Males,75+,10202.7,22064.62,44.0,48.5,46.24,High blood pressure
PHN106,SOUTH EASTERN NSW,Persons,18–54,45057.13,274018.6,15.5,17.4,16.44,High blood pressure
PHN106,SOUTH EASTERN NSW,Persons,55–74,56755.6,149914.0,36.3,39.5,37.86,High blood pressure
PHN106,SOUTH EASTERN NSW,Persons,75+,21726.16,47918.96,43.2,47.5,45.34,High blood pressure
PHN107,WESTERN NSW,Females,18–54,8948.74,65391.73,12.6,14.7,13.68,High blood pressure
PHN107,WESTERN NSW,Females,55–74,11991.95,33668.64,33.8,37.5,35.62,High blood pressure
PHN107,WESTERN NSW,Females,75+,5160.69,11669.59,41.8,46.6,44.22,High blood pressure
PHN107,WESTERN NSW,Males,18–54,12297.39,63015.55,18.1,20.9,19.52,High blood pressure
PHN107,WESTERN NSW,Males,55–74,13499.52,34010.07,37.7,41.7,39.69,High blood pressure
PHN107,WESTERN NSW,Males,75+,4499.64,9817.424,43.3,48.3,45.83,High blood pressure
PHN107,WESTERN NSW,Persons,18–54,21274.29,128407.3,15.5,17.6,16.57,High blood pressure
PHN107,WESTERN NSW,Persons,55–74,25522.77,67678.71,36.0,39.5,37.71,High blood pressure
PHN107,WESTERN NSW,Persons,75+,9670.978,21487.01,42.7,47.3,45.01,High blood pressure
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Females,18–54,37249.09,283920.6,12.2,14.0,13.12,High blood pressure
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Females,55–74,52831.11,150142.8,33.7,36.7,35.19,High blood pressure
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Females,75+,23294.31,53696.82,41.4,45.4,43.38,High blood pressure
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Males,18–54,52495.43,275830.5,17.9,20.2,19.03,High blood pressure
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Males,55–74,56526.4,142852.1,37.9,41.2,39.57,High blood pressure
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Males,75+,19846.25,43627.2,43.5,47.5,45.49,High blood pressure
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Persons,18–54,89864.52,559751.0,15.2,16.9,16.05,High blood pressure
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Persons,55–74,109489.1,292994.9,36.0,38.7,37.37,High blood pressure
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Persons,75+,43187.63,97324.01,42.4,46.3,44.38,High blood pressure
PHN109,NORTH COAST,Females,18–54,15290.32,107251.0,13.2,15.3,14.26,High blood pressure
PHN109,NORTH COAST,Females,55–74,25837.16,73459.87,33.4,36.9,35.17,High blood pressure
PHN109,NORTH COAST,Females,75+,11561.64,26310.8,41.7,46.2,43.94,High blood pressure
PHN109,NORTH COAST,Males,18–54,20424.3,100104.5,19.1,21.7,20.4,High blood pressure
PHN109,NORTH COAST,Males,55–74,28602.15,70909.89,38.5,42.2,40.34,High blood pressure
PHN109,NORTH COAST,Males,75+,10263.4,22231.7,43.8,48.5,46.17,High blood pressure
PHN109,NORTH COAST,Persons,18–54,35761.45,207355.5,16.3,18.2,17.25,High blood pressure
PHN109,NORTH COAST,Persons,55–74,54505.7,144369.8,36.1,39.4,37.75,High blood pressure
PHN109,NORTH COAST,Persons,75+,21849.29,48542.5,42.8,47.2,45.01,High blood pressure
PHN110,MURRUMBIDGEE,Females,18–54,7101.539,52116.9,12.5,14.7,13.63,High blood pressure
PHN110,MURRUMBIDGEE,Females,55–74,10198.22,28495.6,33.9,37.7,35.79,High blood pressure
PHN110,MURRUMBIDGEE,Females,75+,4543.537,10285.85,41.7,46.6,44.17,High blood pressure
PHN110,MURRUMBIDGEE,Males,18–54,9883.78,50864.7,18.0,20.8,19.43,High blood pressure
PHN110,MURRUMBIDGEE,Males,55–74,11460.35,28961.71,37.5,41.6,39.57,High blood pressure
PHN110,MURRUMBIDGEE,Males,75+,4034.055,8809.615,43.3,48.3,45.79,High blood pressure
PHN110,MURRUMBIDGEE,Persons,18–54,17007.93,102981.6,15.5,17.6,16.52,High blood pressure
PHN110,MURRUMBIDGEE,Persons,55–74,21685.15,57457.31,36.0,39.5,37.74,High blood pressure
PHN110,MURRUMBIDGEE,Persons,75+,8587.123,19095.47,42.6,47.3,44.97,High blood pressure
PHN201,NORTH WESTERN MELBOURNE,Females,18–54,53545.94,507883.6,9.7,11.4,10.54,High blood pressure
PHN201,NORTH WESTERN MELBOURNE,Females,55–74,46641.35,139413.0,31.9,35.0,33.46,High blood pressure
PHN201,NORTH WESTERN MELBOURNE,Females,75+,18545.4,42874.37,41.3,45.2,43.26,High blood pressure
PHN201,NORTH WESTERN MELBOURNE,Males,18–54,88137.16,505188.8,16.3,18.6,17.45,High blood pressure
PHN201,NORTH WESTERN MELBOURNE,Males,55–74,50287.04,131028.4,36.7,40.0,38.38,High blood pressure
PHN201,NORTH WESTERN MELBOURNE,Males,75+,15254.4,33961.97,42.9,47.0,44.92,High blood pressure
PHN201,NORTH WESTERN MELBOURNE,Persons,18–54,141882.9,1013072.0,13.3,14.7,14.0,High blood pressure
PHN201,NORTH WESTERN MELBOURNE,Persons,55–74,97045.35,270441.4,34.5,37.3,35.88,High blood pressure
PHN201,NORTH WESTERN MELBOURNE,Persons,75+,33836.09,76836.33,42.1,46.0,44.04,High blood pressure
PHN202,EASTERN MELBOURNE,Females,18–54,45093.51,392872.6,10.6,12.3,11.48,High blood pressure
PHN202,EASTERN MELBOURNE,Females,55–74,52003.29,156465.8,31.6,34.8,33.24,High blood pressure
PHN202,EASTERN MELBOURNE,Females,75+,22347.19,53055.7,40.1,44.2,42.12,High blood pressure
PHN202,EASTERN MELBOURNE,Males,18–54,67576.33,385234.0,16.4,18.7,17.54,High blood pressure
PHN202,EASTERN MELBOURNE,Males,55–74,53315.64,142829.4,35.5,39.1,37.33,High blood pressure
PHN202,EASTERN MELBOURNE,Males,75+,19055.19,43310.47,41.9,46.1,44.0,High blood pressure
PHN202,EASTERN MELBOURNE,Persons,18–54,112823.8,778106.6,13.7,15.3,14.5,High blood pressure
PHN202,EASTERN MELBOURNE,Persons,55–74,105443.4,299295.2,33.7,36.7,35.23,High blood pressure
PHN202,EASTERN MELBOURNE,Persons,75+,41447.57,96366.17,41.0,45.1,43.01,High blood pressure
PHN203,SOUTH EASTERN MELBOURNE,Females,18–54,46483.97,405641.1,10.6,12.3,11.46,High blood pressure
PHN203,SOUTH EASTERN MELBOURNE,Females,55–74,50227.51,150950.5,31.7,34.8,33.27,High blood pressure
PHN203,SOUTH EASTERN MELBOURNE,Females,75+,21371.46,50405.29,40.4,44.4,42.4,High blood pressure
PHN203,SOUTH EASTERN MELBOURNE,Males,18–54,71866.91,398792.1,16.9,19.1,18.02,High blood pressure
PHN203,SOUTH EASTERN MELBOURNE,Males,55–74,53392.51,140629.2,36.3,39.7,37.97,High blood pressure
PHN203,SOUTH EASTERN MELBOURNE,Males,75+,17980.27,40451.42,42.4,46.5,44.45,High blood pressure
PHN203,SOUTH EASTERN MELBOURNE,Persons,18–54,118514.3,804433.1,14.0,15.5,14.73,High blood pressure
PHN203,SOUTH EASTERN MELBOURNE,Persons,55–74,103744.3,291579.7,34.2,37.0,35.58,High blood pressure
PHN203,SOUTH EASTERN MELBOURNE,Persons,75+,39394.41,90856.71,41.4,45.3,43.36,High blood pressure
PHN204,GIPPSLAND,Females,18–54,8151.368,59107.64,12.7,14.9,13.79,High blood pressure
PHN204,GIPPSLAND,Females,55–74,13605.64,38148.87,33.8,37.6,35.66,High blood pressure
PHN204,GIPPSLAND,Females,75+,5331.347,11992.33,42.0,46.9,44.46,High blood pressure
PHN204,GIPPSLAND,Males,18–54,11239.3,56798.62,18.4,21.2,19.79,High blood pressure
PHN204,GIPPSLAND,Males,55–74,14961.98,37295.98,38.1,42.1,40.12,High blood pressure
PHN204,GIPPSLAND,Males,75+,5014.972,10881.26,43.6,48.6,46.09,High blood pressure
PHN204,GIPPSLAND,Persons,18–54,19416.39,115906.3,15.7,17.8,16.75,High blood pressure
PHN204,GIPPSLAND,Persons,55–74,28602.36,75444.85,36.1,39.7,37.91,High blood pressure
PHN204,GIPPSLAND,Persons,75+,10358.11,22873.59,42.9,47.7,45.28,High blood pressure
PHN205,MURRAY,Females,18–54,18190.24,134518.1,12.5,14.5,13.52,High blood pressure
PHN205,MURRAY,Females,55–74,26493.58,74816.07,33.7,37.1,35.41,High blood pressure
PHN205,MURRAY,Females,75+,11055.53,24871.2,42.2,46.7,44.45,High blood pressure
PHN205,MURRAY,Males,18–54,25661.69,130744.6,18.3,20.9,19.63,High blood pressure
PHN205,MURRAY,Males,55–74,29406.48,73845.38,38.0,41.7,39.82,High blood pressure
PHN205,MURRAY,Males,75+,9995.391,21682.82,43.8,48.4,46.1,High blood pressure
PHN205,MURRAY,Persons,18–54,43910.59,265262.8,15.6,17.5,16.55,High blood pressure
PHN205,MURRAY,Persons,55–74,55968.31,148661.4,36.1,39.2,37.65,High blood pressure
PHN205,MURRAY,Persons,75+,21074.5,46554.02,43.1,47.4,45.27,High blood pressure
PHN206,WESTERN VICTORIA,Females,18–54,19105.24,145366.9,12.2,14.1,13.14,High blood pressure
PHN206,WESTERN VICTORIA,Females,55–74,27298.33,77264.27,33.6,37.1,35.33,High blood pressure
PHN206,WESTERN VICTORIA,Females,75+,11566.24,26054.59,42.2,46.6,44.39,High blood pressure
PHN206,WESTERN VICTORIA,Males,18–54,27404.83,141660.4,18.1,20.6,19.34,High blood pressure
PHN206,WESTERN VICTORIA,Males,55–74,29403.36,73715.94,38.0,41.7,39.89,High blood pressure
PHN206,WESTERN VICTORIA,Males,75+,9782.765,21197.08,43.9,48.4,46.15,High blood pressure
PHN206,WESTERN VICTORIA,Persons,18–54,46572.66,287027.3,15.3,17.2,16.23,High blood pressure
PHN206,WESTERN VICTORIA,Persons,55–74,56770.09,150980.2,36.0,39.2,37.6,High blood pressure
PHN206,WESTERN VICTORIA,Persons,75+,21372.22,47251.67,43.1,47.4,45.23,High blood pressure
PHN301,BRISBANE NORTH,Females,18–54,29859.03,266869.6,10.3,12.0,11.19,High blood pressure
PHN301,BRISBANE NORTH,Females,55–74,31840.28,95305.79,31.8,35.0,33.41,High blood pressure
PHN301,BRISBANE NORTH,Females,75+,12228.91,29077.86,40.0,44.1,42.06,High blood pressure
PHN301,BRISBANE NORTH,Males,18–54,46410.46,259772.0,16.7,19.0,17.87,High blood pressure
PHN301,BRISBANE NORTH,Males,55–74,34173.8,89289.27,36.6,40.0,38.27,High blood pressure
PHN301,BRISBANE NORTH,Males,75+,10360.12,23222.16,42.5,46.7,44.61,High blood pressure
PHN301,BRISBANE NORTH,Persons,18–54,76375.02,526641.6,13.7,15.3,14.5,High blood pressure
PHN301,BRISBANE NORTH,Persons,55–74,66093.59,184595.1,34.4,37.2,35.8,High blood pressure
PHN301,BRISBANE NORTH,Persons,75+,22613.61,52300.02,41.3,45.2,43.24,High blood pressure
PHN302,BRISBANE SOUTH,Females,18–54,34424.1,302712.6,10.5,12.2,11.37,High blood pressure
PHN302,BRISBANE SOUTH,Females,55–74,35055.21,105533.9,31.6,34.8,33.22,High blood pressure
PHN302,BRISBANE SOUTH,Females,75+,12250.8,29106.88,40.0,44.2,42.09,High blood pressure
PHN302,BRISBANE SOUTH,Males,18–54,51926.87,296940.5,16.4,18.6,17.49,High blood pressure
PHN302,BRISBANE SOUTH,Males,55–74,37605.95,99803.99,36.0,39.4,37.68,High blood pressure
PHN302,BRISBANE SOUTH,Males,75+,10474.01,23692.88,42.1,46.3,44.21,High blood pressure
PHN302,BRISBANE SOUTH,Persons,18–54,86469.22,599653.2,13.7,15.2,14.42,High blood pressure
PHN302,BRISBANE SOUTH,Persons,55–74,72748.67,205337.9,34.0,36.9,35.43,High blood pressure
PHN302,BRISBANE SOUTH,Persons,75+,22749.64,52799.75,41.1,45.1,43.09,High blood pressure
PHN303,GOLD COAST,Females,18–54,19599.44,155019.2,11.7,13.6,12.64,High blood pressure
PHN303,GOLD COAST,Females,55–74,22808.98,64973.2,33.3,36.9,35.1,High blood pressure
PHN303,GOLD COAST,Females,75+,8663.809,19754.68,41.6,46.2,43.86,High blood pressure
PHN303,GOLD COAST,Males,18–54,28122.1,146293.2,17.9,20.5,19.22,High blood pressure
PHN303,GOLD COAST,Males,55–74,23888.37,59726.04,38.1,41.9,40.0,High blood pressure
PHN303,GOLD COAST,Males,75+,7878.137,17001.58,44.0,48.7,46.34,High blood pressure
PHN303,GOLD COAST,Persons,18–54,47785.75,301312.4,14.9,16.8,15.86,High blood pressure
PHN303,GOLD COAST,Persons,55–74,46753.03,124699.2,35.9,39.1,37.49,High blood pressure
PHN303,GOLD COAST,Persons,75+,16560.52,36756.26,42.9,47.3,45.06,High blood pressure
PHN304,DARLING DOWNS AND WEST MORETON,Females,18–54,17756.62,134794.4,12.3,14.1,13.17,High blood pressure
PHN304,DARLING DOWNS AND WEST MORETON,Females,55–74,20581.72,58158.76,33.8,37.0,35.39,High blood pressure
PHN304,DARLING DOWNS AND WEST MORETON,Females,75+,7680.641,17521.23,41.7,46.0,43.84,High blood pressure
PHN304,DARLING DOWNS AND WEST MORETON,Males,18–54,24568.37,129554.7,17.8,20.2,18.96,High blood pressure
PHN304,DARLING DOWNS AND WEST MORETON,Males,55–74,22641.43,57278.17,37.8,41.3,39.53,High blood pressure
PHN304,DARLING DOWNS AND WEST MORETON,Males,75+,6867.559,15017.62,43.5,48.0,45.73,High blood pressure
PHN304,DARLING DOWNS AND WEST MORETON,Persons,18–54,42381.2,264349.2,15.2,16.9,16.03,High blood pressure
PHN304,DARLING DOWNS AND WEST MORETON,Persons,55–74,43275.74,115436.9,36.0,39.0,37.49,High blood pressure
PHN304,DARLING DOWNS AND WEST MORETON,Persons,75+,14564.42,32538.85,42.7,46.9,44.76,High blood pressure
PHN305,WESTERN QUEENSLAND,Females,18–54,1184.249,9026.893,11.2,15.0,13.12,High blood pressure
PHN305,WESTERN QUEENSLAND,Females,55–74,999.543,2831.063,31.7,38.9,35.31,High blood pressure
PHN305,WESTERN QUEENSLAND,Females,75+,301.239,684.34,39.0,49.0,44.02,High blood pressure
PHN305,WESTERN QUEENSLAND,Males,18–54,1754.574,9333.07,16.3,21.3,18.8,High blood pressure
PHN305,WESTERN QUEENSLAND,Males,55–74,1297.589,3336.162,35.1,42.7,38.9,High blood pressure
PHN305,WESTERN QUEENSLAND,Males,75+,288.99,638.425,40.1,50.4,45.27,High blood pressure
PHN305,WESTERN QUEENSLAND,Persons,18–54,2942.822,18359.96,14.0,18.1,16.03,High blood pressure
PHN305,WESTERN QUEENSLAND,Persons,55–74,2300.113,6167.225,33.9,40.7,37.3,High blood pressure
PHN305,WESTERN QUEENSLAND,Persons,75+,590.907,1322.765,40.4,49.0,44.67,High blood pressure
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Females,18–54,26575.55,188879.2,13.1,15.1,14.07,High blood pressure
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Females,55–74,38062.42,106564.9,34.0,37.4,35.72,High blood pressure
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Females,75+,14679.86,33129.59,42.1,46.5,44.31,High blood pressure
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Males,18–54,36224.88,180099.1,18.8,21.4,20.11,High blood pressure
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Males,55–74,41771.65,103375.3,38.6,42.2,40.41,High blood pressure
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Males,75+,13789.91,29710.13,44.2,48.6,46.42,High blood pressure
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Persons,18–54,62883.4,368978.3,16.1,18.0,17.04,High blood pressure
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Persons,55–74,79931.11,209940.3,36.5,39.6,38.07,High blood pressure
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Persons,75+,28502.2,62839.73,43.2,47.5,45.36,High blood pressure
PHN307,NORTHERN QUEENSLAND,Females,18–54,21039.42,159643.9,12.2,14.1,13.18,High blood pressure
PHN307,NORTHERN QUEENSLAND,Females,55–74,22841.87,65491.83,33.2,36.6,34.88,High blood pressure
PHN307,NORTHERN QUEENSLAND,Females,75+,7475.384,16889.8,42.0,46.5,44.26,High blood pressure
PHN307,NORTHERN QUEENSLAND,Males,18–54,30134.72,154873.6,18.2,20.7,19.46,High blood pressure
PHN307,NORTHERN QUEENSLAND,Males,55–74,27002.64,68174.7,37.8,41.5,39.61,High blood pressure
PHN307,NORTHERN QUEENSLAND,Males,75+,7016.762,15210.54,43.8,48.4,46.13,High blood pressure
PHN307,NORTHERN QUEENSLAND,Persons,18–54,51242.96,314517.5,15.4,17.2,16.29,High blood pressure
PHN307,NORTHERN QUEENSLAND,Persons,55–74,49906.92,133666.5,35.8,38.9,37.34,High blood pressure
PHN307,NORTHERN QUEENSLAND,Persons,75+,14508.65,32100.34,43.0,47.4,45.2,High blood pressure
PHN401,ADELAIDE,Females,18–54,34305.93,304899.1,10.4,12.1,11.25,High blood pressure
PHN401,ADELAIDE,Females,55–74,43699.36,133256.2,31.2,34.4,32.79,High blood pressure
PHN401,ADELAIDE,Females,75+,19962.33,47466.9,40.0,44.2,42.06,High blood pressure
PHN401,ADELAIDE,Males,18–54,53139.22,302148.6,16.4,18.8,17.59,High blood pressure
PHN401,ADELAIDE,Males,55–74,45647.34,121422.9,35.8,39.4,37.59,High blood pressure
PHN401,ADELAIDE,Males,75+,16141.78,36714.13,41.8,46.1,43.97,High blood pressure
PHN401,ADELAIDE,Persons,18–54,87565.99,607047.8,13.6,15.2,14.42,High blood pressure
PHN401,ADELAIDE,Persons,55–74,89453.12,254679.0,33.6,36.6,35.12,High blood pressure
PHN401,ADELAIDE,Persons,75+,36142.58,84181.03,40.9,45.0,42.93,High blood pressure
PHN402,COUNTRY SA,Females,18–54,14160.78,101560.9,12.9,15.0,13.94,High blood pressure
PHN402,COUNTRY SA,Females,55–74,21971.87,61987.35,33.8,37.1,35.45,High blood pressure
PHN402,COUNTRY SA,Females,75+,8716.656,19578.45,42.3,46.7,44.52,High blood pressure
PHN402,COUNTRY SA,Males,18–54,20062.89,100385.2,18.7,21.3,19.99,High blood pressure
PHN402,COUNTRY SA,Males,55–74,24664.02,62015.49,38.0,41.6,39.77,High blood pressure
PHN402,COUNTRY SA,Males,75+,8026.951,17449.82,43.7,48.3,46.0,High blood pressure
PHN402,COUNTRY SA,Persons,18–54,34269.52,201946.0,16.0,17.9,16.97,High blood pressure
PHN402,COUNTRY SA,Persons,55–74,46693.1,124002.8,36.1,39.2,37.66,High blood pressure
PHN402,COUNTRY SA,Persons,75+,16762.51,37028.27,43.1,47.4,45.27,High blood pressure
PHN501,PERTH NORTH,Females,18–54,31811.64,277861.8,10.6,12.3,11.45,High blood pressure
PHN501,PERTH NORTH,Females,55–74,33503.44,101509.5,31.4,34.6,33.01,High blood pressure
PHN501,PERTH NORTH,Females,75+,13031.89,30774.7,40.3,44.4,42.35,High blood pressure
PHN501,PERTH NORTH,Males,18–54,48839.9,276327.4,16.5,18.8,17.68,High blood pressure
PHN501,PERTH NORTH,Males,55–74,36175.86,96964.51,35.5,39.1,37.31,High blood pressure
PHN501,PERTH NORTH,Males,75+,10896.32,24733.6,41.9,46.2,44.06,High blood pressure
PHN501,PERTH NORTH,Persons,18–54,80762.66,554189.2,13.8,15.4,14.57,High blood pressure
PHN501,PERTH NORTH,Persons,55–74,69763.44,198474.1,33.7,36.6,35.15,High blood pressure
PHN501,PERTH NORTH,Persons,75+,23954.1,55508.3,41.1,45.2,43.15,High blood pressure
PHN502,PERTH SOUTH,Females,18–54,29504.41,251941.3,10.9,12.5,11.71,High blood pressure
PHN502,PERTH SOUTH,Females,55–74,31567.4,93981.94,32.0,35.1,33.59,High blood pressure
PHN502,PERTH SOUTH,Females,75+,12587.63,29557.69,40.5,44.7,42.59,High blood pressure
PHN502,PERTH SOUTH,Males,18–54,44627.69,253253.1,16.5,18.7,17.62,High blood pressure
PHN502,PERTH SOUTH,Males,55–74,33726.3,89225.22,36.1,39.5,37.8,High blood pressure
PHN502,PERTH SOUTH,Males,75+,10760.51,24309.37,42.1,46.4,44.26,High blood pressure
PHN502,PERTH SOUTH,Persons,18–54,74233.71,505194.4,13.9,15.5,14.69,High blood pressure
PHN502,PERTH SOUTH,Persons,55–74,65372.19,183207.2,34.2,37.1,35.68,High blood pressure
PHN502,PERTH SOUTH,Persons,75+,23373.65,53867.06,41.4,45.4,43.39,High blood pressure
PHN503,COUNTRY WA,Females,18–54,14738.9,105778.0,12.9,15.0,13.93,High blood pressure
PHN503,COUNTRY WA,Females,55–74,17999.79,50889.78,33.6,37.1,35.37,High blood pressure
PHN503,COUNTRY WA,Females,75+,6153.277,13756.87,42.4,47.0,44.73,High blood pressure
PHN503,COUNTRY WA,Males,18–54,20283.1,102066.1,18.6,21.2,19.87,High blood pressure
PHN503,COUNTRY WA,Males,55–74,20306.85,51504.2,37.5,41.3,39.43,High blood pressure
PHN503,COUNTRY WA,Males,75+,5613.032,12233.88,43.5,48.3,45.88,High blood pressure
PHN503,COUNTRY WA,Persons,18–54,35068.44,207844.1,15.9,17.8,16.87,High blood pressure
PHN503,COUNTRY WA,Persons,55–74,38353.72,102394.0,35.8,39.1,37.46,High blood pressure
PHN503,COUNTRY WA,Persons,75+,11779.54,25990.74,43.1,47.6,45.32,High blood pressure
PHN601,TASMANIA,Females,18–54,17369.6238171411,117723.0,11.5,18.0,14.75,High blood pressure
PHN601,TASMANIA,Females,55–74,23612.8704286975,68881.4889434982,29.0,39.5,34.28,High blood pressure
PHN601,TASMANIA,Females,75+,,,41.3,45.3,,High blood pressure
