Code,Region,Gender,AgeGroup,Number,Population,CI_Proportion_Lower,CI_Proportion_Upper,Proportion (%),Risk_Factor
PHN204,GIPPSLAND,Persons,55–74,35737.92,75444.85,44.3,50.4,47.37,Obesity
PHN204,GIPPSLAND,Persons,75+,9129.148,22873.59,36.5,43.3,39.91,Obesity
PHN205,MURRAY,Females,18–54,46037.93,134518.1,31.9,36.5,34.22,Obesity
PHN205,MURRAY,Females,55–74,33784.27,74816.07,42.6,47.8,45.16,Obesity
PHN205,MURRAY,Females,75+,10417.08,24871.2,39.0,44.7,41.88,Obesity
PHN205,MURRAY,Males,18–54,48407.47,130744.6,34.6,39.5,37.02,Obesity
PHN205,MURRAY,Males,55–74,36741.72,73845.38,46.8,52.7,49.76,Obesity
PHN205,MURRAY,Males,75+,8218.737,21682.82,33.4,42.4,37.9,Obesity
PHN205,MURRAY,Persons,18–54,94379.43,265262.8,33.3,37.9,35.58,Obesity
PHN205,MURRAY,Persons,55–74,70449.03,148661.4,44.7,50.1,47.39,Obesity
PHN205,MURRAY,Persons,75+,18684.95,46554.02,37.1,43.1,40.14,Obesity
PHN206,WESTERN VICTORIA,Females,18–54,46873.17,145366.9,30.1,34.4,32.24,Obesity
PHN206,WESTERN VICTORIA,Females,55–74,33347.74,77264.27,40.7,45.7,43.16,Obesity
PHN206,WESTERN VICTORIA,Females,75+,10410.17,26054.59,37.2,42.7,39.96,Obesity
PHN206,WESTERN VICTORIA,Males,18–54,49075.01,141660.4,32.4,36.9,34.64,Obesity
PHN206,WESTERN VICTORIA,Males,55–74,35031.93,73715.94,44.7,50.4,47.52,Obesity
PHN206,WESTERN VICTORIA,Males,75+,7627.215,21197.08,31.6,40.4,35.98,Obesity
PHN206,WESTERN VICTORIA,Persons,18–54,95885.94,287027.3,31.3,35.5,33.41,Obesity
PHN206,WESTERN VICTORIA,Persons,55–74,68332.63,150980.2,42.7,47.8,45.26,Obesity
PHN206,WESTERN VICTORIA,Persons,75+,18100.21,47251.67,35.5,41.2,38.31,Obesity
PHN301,BRISBANE NORTH,Females,18–54,68919.42,266869.6,24.6,27.0,25.82,Obesity
PHN301,BRISBANE NORTH,Females,55–74,36085.22,95305.79,36.2,39.5,37.86,Obesity
PHN301,BRISBANE NORTH,Females,75+,10229.15,29077.86,33.2,37.2,35.18,Obesity
PHN301,BRISBANE NORTH,Males,18–54,73638.25,259772.0,27.0,29.6,28.35,Obesity
PHN301,BRISBANE NORTH,Males,55–74,37370.05,89289.27,39.8,43.9,41.85,Obesity
PHN301,BRISBANE NORTH,Males,75+,7214.215,23222.16,27.3,34.8,31.07,Obesity
PHN301,BRISBANE NORTH,Persons,18–54,142431.5,526641.6,25.9,28.2,27.04,Obesity
PHN301,BRISBANE NORTH,Persons,55–74,73416.98,184595.1,38.1,41.5,39.77,Obesity
PHN301,BRISBANE NORTH,Persons,75+,17511.67,52300.02,31.3,35.6,33.48,Obesity
PHN302,BRISBANE SOUTH,Females,18–54,79071.0,302712.6,24.8,27.4,26.12,Obesity
PHN302,BRISBANE SOUTH,Females,55–74,40119.9,105533.9,36.3,39.7,38.02,Obesity
PHN302,BRISBANE SOUTH,Females,75+,10295.11,29106.88,33.4,37.4,35.37,Obesity
PHN302,BRISBANE SOUTH,Males,18–54,84889.19,296940.5,27.2,30.0,28.59,Obesity
PHN302,BRISBANE SOUTH,Males,55–74,42134.78,99803.99,40.1,44.4,42.22,Obesity
PHN302,BRISBANE SOUTH,Males,75+,7423.852,23692.88,27.6,35.1,31.33,Obesity
PHN302,BRISBANE SOUTH,Persons,18–54,163805.9,599653.2,26.1,28.6,27.32,Obesity
PHN302,BRISBANE SOUTH,Persons,55–74,82198.36,205337.9,38.2,41.8,40.03,Obesity
PHN302,BRISBANE SOUTH,Persons,75+,17783.88,52799.75,31.5,35.8,33.68,Obesity
PHN303,GOLD COAST,Females,18–54,40661.47,155019.2,24.8,27.7,26.23,Obesity
PHN303,GOLD COAST,Females,55–74,23904.91,64973.2,35.0,38.6,36.79,Obesity
PHN303,GOLD COAST,Females,75+,6510.117,19754.68,30.8,35.1,32.96,Obesity
PHN303,GOLD COAST,Males,18–54,42269.09,146293.2,27.3,30.5,28.89,Obesity
PHN303,GOLD COAST,Males,55–74,24335.58,59726.04,38.6,42.9,40.74,Obesity
PHN303,GOLD COAST,Males,75+,4947.456,17001.58,25.4,32.8,29.1,Obesity
PHN303,GOLD COAST,Persons,18–54,82883.66,301312.4,26.1,28.9,27.51,Obesity
PHN303,GOLD COAST,Persons,55–74,48224.97,124699.2,36.8,40.5,38.67,Obesity
PHN303,GOLD COAST,Persons,75+,11492.7,36756.26,29.1,33.5,31.27,Obesity
PHN304,DARLING DOWNS AND WEST MORETON,Females,18–54,44819.56,134794.4,31.4,35.1,33.25,Obesity
PHN304,DARLING DOWNS AND WEST MORETON,Females,55–74,25657.61,58158.76,42.0,46.3,44.12,Obesity
PHN304,DARLING DOWNS AND WEST MORETON,Females,75+,7129.681,17521.23,38.1,43.2,40.69,Obesity
PHN304,DARLING DOWNS AND WEST MORETON,Males,18–54,46531.34,129554.7,33.9,37.9,35.92,Obesity
PHN304,DARLING DOWNS AND WEST MORETON,Males,55–74,27988.49,57278.17,46.3,51.4,48.86,Obesity
PHN304,DARLING DOWNS AND WEST MORETON,Males,75+,5529.988,15017.62,32.5,41.1,36.82,Obesity
PHN304,DARLING DOWNS AND WEST MORETON,Persons,18–54,91300.62,264349.2,32.7,36.4,34.54,Obesity
PHN304,DARLING DOWNS AND WEST MORETON,Persons,55–74,53585.67,115436.9,44.2,48.7,46.42,Obesity
PHN304,DARLING DOWNS AND WEST MORETON,Persons,75+,12695.52,32538.85,36.3,41.7,39.02,Obesity
PHN305,WESTERN QUEENSLAND,Females,18–54,3001.114,9026.893,29.4,37.1,33.25,Obesity
PHN305,WESTERN QUEENSLAND,Females,55–74,1276.88,2831.063,40.8,49.4,45.1,Obesity
PHN305,WESTERN QUEENSLAND,Females,75+,286.319,684.34,36.4,47.3,41.84,Obesity
PHN305,WESTERN QUEENSLAND,Males,18–54,3368.127,9333.07,32.0,40.2,36.09,Obesity
PHN305,WESTERN QUEENSLAND,Males,55–74,1690.699,3336.162,46.0,55.4,50.68,Obesity
PHN305,WESTERN QUEENSLAND,Males,75+,244.287,638.425,31.6,44.9,38.26,Obesity
PHN305,WESTERN QUEENSLAND,Persons,18–54,6359.962,18359.96,30.8,38.5,34.64,Obesity
PHN305,WESTERN QUEENSLAND,Persons,55–74,2957.595,6167.225,43.7,52.2,47.96,Obesity
PHN305,WESTERN QUEENSLAND,Persons,75+,531.526,1322.765,35.2,45.1,40.18,Obesity
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Females,18–54,55803.18,188879.2,27.8,31.3,29.54,Obesity
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Females,55–74,41753.56,106564.9,37.1,41.2,39.18,Obesity
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Females,75+,11899.28,33129.59,33.6,38.3,35.92,Obesity
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Males,18–54,57813.41,180099.1,30.2,34.0,32.1,Obesity
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Males,55–74,45086.02,103375.3,41.2,46.0,43.61,Obesity
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Males,75+,9495.057,29710.13,28.0,35.9,31.96,Obesity
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Persons,18–54,113556.8,368978.3,29.0,32.5,30.78,Obesity
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Persons,55–74,86752.03,209940.3,39.2,43.5,41.32,Obesity
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Persons,75+,21447.96,62839.73,31.7,36.6,34.13,Obesity
PHN307,NORTHERN QUEENSLAND,Females,18–54,50657.9,159643.9,29.7,33.8,31.73,Obesity
PHN307,NORTHERN QUEENSLAND,Females,55–74,28308.13,65491.83,40.9,45.6,43.22,Obesity
PHN307,NORTHERN QUEENSLAND,Females,75+,6879.02,16889.8,38.0,43.4,40.73,Obesity
PHN307,NORTHERN QUEENSLAND,Males,18–54,53817.86,154873.6,32.5,37.0,34.75,Obesity
PHN307,NORTHERN QUEENSLAND,Males,55–74,32919.38,68174.7,45.6,51.0,48.29,Obesity
PHN307,NORTHERN QUEENSLAND,Males,75+,5575.285,15210.54,32.3,41.1,36.65,Obesity
PHN307,NORTHERN QUEENSLAND,Persons,18–54,104390.2,314517.5,31.1,35.2,33.19,Obesity
PHN307,NORTHERN QUEENSLAND,Persons,55–74,61113.05,133666.5,43.3,48.2,45.72,Obesity
PHN307,NORTHERN QUEENSLAND,Persons,75+,12483.28,32100.34,36.0,41.7,38.89,Obesity
PHN401,ADELAIDE,Females,18–54,80986.56,304899.1,24.6,28.5,26.56,Obesity
PHN401,ADELAIDE,Females,55–74,50699.57,133256.2,35.7,40.4,38.05,Obesity
PHN401,ADELAIDE,Females,75+,16514.74,47466.9,32.2,37.3,34.79,Obesity
PHN401,ADELAIDE,Males,18–54,88295.21,302148.6,27.1,31.3,29.22,Obesity
PHN401,ADELAIDE,Males,55–74,51029.6,121422.9,39.3,44.8,42.03,Obesity
PHN401,ADELAIDE,Males,75+,11302.52,36714.13,26.8,34.8,30.78,Obesity
PHN401,ADELAIDE,Persons,18–54,169092.2,607047.8,25.9,29.8,27.86,Obesity
PHN401,ADELAIDE,Persons,55–74,101709.9,254679.0,37.5,42.4,39.94,Obesity
PHN401,ADELAIDE,Persons,75+,27935.61,84181.03,30.6,35.8,33.18,Obesity
PHN402,COUNTRY SA,Females,18–54,33964.67,101560.9,30.8,36.1,33.44,Obesity
PHN402,COUNTRY SA,Females,55–74,26832.63,61987.35,40.3,46.3,43.29,Obesity
PHN402,COUNTRY SA,Females,75+,7894.525,19578.45,37.1,43.5,40.32,Obesity
PHN402,COUNTRY SA,Males,18–54,36315.64,100385.2,33.3,39.0,36.18,Obesity
PHN402,COUNTRY SA,Males,55–74,29559.58,62015.49,44.4,51.0,47.66,Obesity
PHN402,COUNTRY SA,Males,75+,6299.497,17449.82,31.4,40.8,36.1,Obesity
PHN402,COUNTRY SA,Persons,18–54,70217.52,201946.0,32.1,37.5,34.77,Obesity
PHN402,COUNTRY SA,Persons,55–74,56322.24,124002.8,42.4,48.5,45.42,Obesity
PHN402,COUNTRY SA,Persons,75+,14229.59,37028.27,35.1,41.7,38.43,Obesity
PHN501,PERTH NORTH,Females,18–54,63742.62,277861.8,22.1,23.8,22.94,Obesity
PHN501,PERTH NORTH,Females,55–74,33354.57,101509.5,31.8,33.9,32.86,Obesity
PHN501,PERTH NORTH,Females,75+,9267.071,30774.7,28.7,31.5,30.11,Obesity
PHN501,PERTH NORTH,Males,18–54,69689.44,276327.4,24.2,26.2,25.22,Obesity
PHN501,PERTH NORTH,Males,55–74,35389.67,96964.51,35.0,38.0,36.5,Obesity
PHN501,PERTH NORTH,Males,75+,6529.923,24733.6,23.2,29.6,26.4,Obesity
PHN501,PERTH NORTH,Persons,18–54,133278.3,554189.2,23.2,24.9,24.05,Obesity
PHN501,PERTH NORTH,Persons,55–74,68688.99,198474.1,33.5,35.7,34.61,Obesity
PHN501,PERTH NORTH,Persons,75+,15859.01,55508.3,27.0,30.2,28.57,Obesity
PHN502,PERTH SOUTH,Females,18–54,60684.69,251941.3,22.9,25.2,24.09,Obesity
PHN502,PERTH SOUTH,Females,55–74,33216.99,93981.94,33.9,36.8,35.34,Obesity
PHN502,PERTH SOUTH,Females,75+,9745.082,29557.69,31.1,34.8,32.97,Obesity
PHN502,PERTH SOUTH,Males,18–54,66791.17,253253.1,25.1,27.7,26.37,Obesity
PHN502,PERTH SOUTH,Males,55–74,35145.96,89225.22,37.5,41.3,39.39,Obesity
PHN502,PERTH SOUTH,Males,75+,7093.912,24309.37,25.6,32.8,29.18,Obesity
PHN502,PERTH SOUTH,Persons,18–54,127319.0,505194.4,24.1,26.3,25.2,Obesity
PHN502,PERTH SOUTH,Persons,55–74,68310.22,183207.2,35.7,38.8,37.29,Obesity
PHN502,PERTH SOUTH,Persons,75+,16898.88,53867.06,29.4,33.4,31.37,Obesity
PHN503,COUNTRY WA,Females,18–54,31071.89,105778.0,27.5,31.2,29.38,Obesity
PHN503,COUNTRY WA,Females,55–74,20083.18,50889.78,37.3,41.6,39.46,Obesity
PHN503,COUNTRY WA,Females,75+,4978.462,13756.87,33.7,38.7,36.19,Obesity
PHN503,COUNTRY WA,Males,18–54,32641.22,102066.1,30.0,34.0,31.98,Obesity
PHN503,COUNTRY WA,Males,55–74,22661.33,51504.2,41.5,46.5,44.0,Obesity
PHN503,COUNTRY WA,Males,75+,3961.006,12233.88,28.3,36.4,32.38,Obesity
PHN503,COUNTRY WA,Persons,18–54,63669.29,207844.1,28.8,32.5,30.63,Obesity
PHN503,COUNTRY WA,Persons,55–74,42679.55,102394.0,39.5,43.9,41.68,Obesity
PHN503,COUNTRY WA,Persons,75+,8962.171,25990.74,31.9,37.1,34.48,Obesity
PHN601,TASMANIA,Females,18–54,7247.28972732954,117723.0,30.6,48.5,39.54,Obesity
PHN601,TASMANIA,Females,55–74,27988.2376564,68881.4889434982,35.1,46.2,40.63,Obesity
PHN601,TASMANIA,Females,75+,7247.28972732954,18327.5110565019,30.6,48.5,39.54,Obesity
PHN601,TASMANIA,Males,18–54,39465.6365913162,115116.0,28.6,40.0,34.28,Obesity
PHN601,TASMANIA,Males,55–74,21966.5298004757,64858.4909174691,27.6,40.2,33.87,Obesity
PHN601,TASMANIA,Males,75+,,,29.1,36.8,,Obesity
PHN601,TASMANIA,Persons,18–54,77646.0537232264,232839.0,29.5,37.2,33.35,Obesity
PHN601,TASMANIA,Persons,55–74,49954.7674568757,133739.979860967,33.6,41.1,37.35,Obesity
PHN601,TASMANIA,Persons,75+,12365.9704301113,34845.020139033,28.6,42.4,35.49,Obesity
PHN701,NORTHERN TERRITORY,Females,18–54,726.896440993907,49166.0000000001,14.6,52.7,33.66,Obesity
PHN701,NORTHERN TERRITORY,Females,55–74,5497.7343921955,14339.6731829762,29.5,47.1,38.34,Obesity
PHN701,NORTHERN TERRITORY,Females,75+,,,29.1,34.3,,Obesity
PHN701,NORTHERN TERRITORY,Males,18–54,14829.6827757573,50052.0000000002,23.9,35.3,29.63,Obesity
