Code,Region,Gender,AgeGroup,Age_Standardised_Rate,Number,Population,Rate_Ratio,CI_Proportion_Lower,CI_Proportion_Upper,CI_Standardised_Rate_Lower,CI_Standardised_Rate_Upper,CI_Rate_Ratio_Lower,CI_Rate_Ratio_Upper,Proportion (%),Risk_Factor
PHN107,WESTERN NSW,Females,18+,68.615,76875.53,110730.0,1.07081,67.3,71.5,66.5,70.7,1.0,1.1,69.43,Insufficient Physical Activity
PHN107,WESTERN NSW,Males,18+,70.473,74958.43,106843.0,1.0917000000000001,68.1,72.3,68.4,72.6,1.1,1.1,70.16,Insufficient Physical Activity
PHN107,WESTERN NSW,Persons,18+,69.548,151879.5,217573.0,1.08122,67.7,71.9,67.4,71.6,1.0,1.1,69.81,Insufficient Physical Activity
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Females,18+,65.922,326268.4,487760.1,1.0288,65.4,68.4,64.4,67.4,1.0,1.1,66.89,Insufficient Physical Activity
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Males,18+,67.424,310816.4,462309.8,1.0444799999999999,65.7,68.8,65.9,68.9,1.0,1.1,67.23,Insufficient Physical Activity
PHN108,HUNTER NEW ENGLAND AND CENTRAL COAST,Persons,18+,66.684,637237.4,950069.9,1.0367,65.6,68.6,65.2,68.2,1.0,1.1,67.07,Insufficient Physical Activity
PHN109,NORTH COAST,Females,18+,65.341,137526.1,207021.7,1.01972,64.4,68.5,63.4,67.3,1.0,1.1,66.43,Insufficient Physical Activity
PHN109,NORTH COAST,Males,18+,67.345,129958.4,193246.1,1.04325,65.4,69.1,65.4,69.3,1.0,1.1,67.25,Insufficient Physical Activity
PHN109,NORTH COAST,Persons,18+,66.327,267542.9,400267.8,1.03115,64.9,68.8,64.4,68.3,1.0,1.1,66.84,Insufficient Physical Activity
PHN110,MURRUMBIDGEE,Females,18+,68.044,62813.68,90898.35,1.0619100000000001,66.9,71.3,65.9,70.2,1.0,1.1,69.1,Insufficient Physical Activity
PHN110,MURRUMBIDGEE,Males,18+,70.044,61912.43,88636.02,1.08506,67.7,72.0,67.9,72.2,1.0,1.1,69.85,Insufficient Physical Activity
PHN110,MURRUMBIDGEE,Persons,18+,69.054,124767.0,179534.4,1.07354,67.3,71.6,66.9,71.2,1.0,1.1,69.5,Insufficient Physical Activity
PHN201,NORTH WESTERN MELBOURNE,Females,18+,64.332,436209.8,690171.0,1.0039799999999999,61.8,64.6,62.9,65.8,1.0,1.0,63.2,Insufficient Physical Activity
PHN201,NORTH WESTERN MELBOURNE,Males,18+,65.346,424873.0,670179.1,1.0122799999999998,62.0,64.8,63.9,66.8,1.0,1.0,63.4,Insufficient Physical Activity
PHN201,NORTH WESTERN MELBOURNE,Persons,18+,64.862,861338.8,1360350.0,1.00837,61.9,64.7,63.4,66.3,1.0,1.0,63.32,Insufficient Physical Activity
PHN202,EASTERN MELBOURNE,Females,18+,63.349,382956.2,602394.1,0.9886400000000001,62.1,65.0,61.9,64.8,1.0,1.0,63.57,Insufficient Physical Activity
PHN202,EASTERN MELBOURNE,Males,18+,64.532,364228.1,571373.9,0.99967,62.3,65.2,63.1,66.0,1.0,1.0,63.75,Insufficient Physical Activity
PHN202,EASTERN MELBOURNE,Persons,18+,63.95,747360.1,1173768.0,0.99419,62.3,65.1,62.5,65.4,1.0,1.0,63.67,Insufficient Physical Activity
PHN203,SOUTH EASTERN MELBOURNE,Females,18+,62.737,380978.6,606996.8,0.97909,61.4,64.1,61.4,64.1,0.9,1.0,62.76,Insufficient Physical Activity
PHN203,SOUTH EASTERN MELBOURNE,Males,18+,64.267,367432.7,579872.7,0.9955700000000001,62.0,64.7,62.9,65.6,1.0,1.0,63.36,Insufficient Physical Activity
PHN203,SOUTH EASTERN MELBOURNE,Persons,18+,63.519,748614.6,1186870.0,0.98749,61.8,64.4,62.2,64.9,1.0,1.0,63.08,Insufficient Physical Activity
PHN204,GIPPSLAND,Females,18+,68.628,75883.2,109248.8,1.07103,67.3,71.7,66.5,70.8,1.0,1.1,69.46,Insufficient Physical Activity
PHN204,GIPPSLAND,Males,18+,70.469,73802.8,104975.9,1.09165,68.1,72.5,68.3,72.6,1.1,1.1,70.31,Insufficient Physical Activity
PHN204,GIPPSLAND,Persons,18+,69.538,149729.9,214224.7,1.08107,67.7,72.1,67.4,71.7,1.0,1.1,69.89,Insufficient Physical Activity
PHN205,MURRAY,Females,18+,67.75,160539.5,234205.4,1.05733,66.7,70.4,65.9,69.6,1.0,1.1,68.55,Insufficient Physical Activity
PHN205,MURRAY,Males,18+,69.68,157020.6,226272.8,1.0794199999999998,67.6,71.2,67.9,71.5,1.0,1.1,69.39,Insufficient Physical Activity
PHN205,MURRAY,Persons,18+,68.714,317658.0,460478.2,1.06826,67.2,70.8,66.9,70.5,1.0,1.1,68.98,Insufficient Physical Activity
PHN206,WESTERN VICTORIA,Females,18+,64.934,163760.2,248685.8,1.01338,63.9,67.8,63.1,66.8,1.0,1.0,65.85,Insufficient Physical Activity
PHN206,WESTERN VICTORIA,Males,18+,66.699,157243.1,236573.4,1.03324,64.6,68.3,64.8,68.6,1.0,1.1,66.47,Insufficient Physical Activity
PHN206,WESTERN VICTORIA,Persons,18+,65.824,321086.8,485259.2,1.02333,64.3,68.0,64.0,67.7,1.0,1.1,66.17,Insufficient Physical Activity
PHN301,BRISBANE NORTH,Females,18+,65.251,254482.7,391253.3,1.01831,62.9,67.2,63.2,67.3,1.0,1.1,65.04,Insufficient Physical Activity
PHN301,BRISBANE NORTH,Males,18+,66.06,242050.0,372283.5,1.0233400000000001,62.9,67.1,64.0,68.2,1.0,1.1,65.02,Insufficient Physical Activity
PHN301,BRISBANE NORTH,Persons,18+,65.671,496649.6,763536.7,1.02095,63.0,67.1,63.6,67.8,1.0,1.1,65.05,Insufficient Physical Activity
PHN302,BRISBANE SOUTH,Females,18+,69.128,300627.8,437353.4,1.07883,66.8,70.7,67.2,71.1,1.0,1.1,68.74,Insufficient Physical Activity
PHN302,BRISBANE SOUTH,Males,18+,70.258,290425.5,420437.4,1.08838,67.1,71.0,68.3,72.2,1.1,1.1,69.08,Insufficient Physical Activity
PHN302,BRISBANE SOUTH,Persons,18+,69.707,591216.4,857790.8,1.08369,67.0,70.9,67.8,71.7,1.0,1.1,68.92,Insufficient Physical Activity
PHN303,GOLD COAST,Females,18+,64.584,154975.7,239747.1,1.0079099999999999,61.7,67.5,61.7,67.5,1.0,1.1,64.64,Insufficient Physical Activity
PHN303,GOLD COAST,Males,18+,65.929,145484.6,223020.8,1.02131,62.4,68.0,63.1,68.8,1.0,1.1,65.23,Insufficient Physical Activity
PHN303,GOLD COAST,Persons,18+,65.245,300520.8,462767.9,1.0143300000000002,62.1,67.8,62.4,68.1,1.0,1.1,64.94,Insufficient Physical Activity
PHN304,DARLING DOWNS AND WEST MORETON,Females,18+,72.837,153508.5,210474.4,1.13671,71.2,74.7,71.1,74.6,1.1,1.2,72.94,Insufficient Physical Activity
PHN304,DARLING DOWNS AND WEST MORETON,Males,18+,74.147,148101.9,201850.5,1.14863,71.6,75.1,72.4,75.9,1.1,1.2,73.37,Insufficient Physical Activity
PHN304,DARLING DOWNS AND WEST MORETON,Persons,18+,73.495,301692.5,412324.9,1.14258,71.4,74.9,71.7,75.3,1.1,1.2,73.17,Insufficient Physical Activity
PHN305,WESTERN QUEENSLAND,Females,18+,73.153,9084.385,12542.3,1.14164,68.8,76.1,69.6,76.7,1.1,1.2,72.43,Insufficient Physical Activity
PHN305,WESTERN QUEENSLAND,Males,18+,74.758,9775.441,13307.66,1.15809,69.9,77.0,71.2,78.3,1.1,1.2,73.46,Insufficient Physical Activity
PHN305,WESTERN QUEENSLAND,Persons,18+,73.985,18870.32,25849.95,1.15021,69.5,76.5,70.4,77.5,1.1,1.2,73.0,Insufficient Physical Activity
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Females,18+,70.534,233243.6,328573.7,1.10077,69.1,72.9,68.7,72.4,1.1,1.1,70.99,Insufficient Physical Activity
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Males,18+,72.425,225433.9,313184.6,1.12194,70.2,73.8,70.6,74.3,1.1,1.2,71.98,Insufficient Physical Activity
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Persons,18+,71.466,458804.6,641758.3,1.11103,69.7,73.3,69.6,73.3,1.1,1.1,71.49,Insufficient Physical Activity
PHN307,NORTHERN QUEENSLAND,Females,18+,69.722,168446.4,242025.5,1.0881,67.6,71.6,67.8,71.7,1.0,1.1,69.6,Insufficient Physical Activity
PHN307,NORTHERN QUEENSLAND,Males,18+,71.316,168025.0,238258.9,1.10476,68.6,72.4,69.4,73.3,1.1,1.1,70.52,Insufficient Physical Activity
PHN307,NORTHERN QUEENSLAND,Persons,18+,70.523,336592.3,480284.4,1.0963800000000001,68.1,72.0,68.6,72.5,1.1,1.1,70.08,Insufficient Physical Activity
PHN401,ADELAIDE,Females,18+,65.812,321491.6,485622.2,1.02708,64.8,67.6,64.5,67.2,1.0,1.1,66.2,Insufficient Physical Activity
PHN401,ADELAIDE,Males,18+,66.954,304920.3,460285.6,1.0371899999999998,64.9,67.6,65.6,68.3,1.0,1.1,66.25,Insufficient Physical Activity
PHN401,ADELAIDE,Persons,18+,66.403,626554.8,945907.8,1.03233,64.9,67.6,65.0,67.8,1.0,1.1,66.24,Insufficient Physical Activity
PHN402,COUNTRY SA,Females,18+,69.682,128969.1,183126.6,1.08747,68.8,72.1,68.0,71.3,1.1,1.1,70.43,Insufficient Physical Activity
PHN402,COUNTRY SA,Males,18+,71.305,127748.6,179850.5,1.10459,69.4,72.7,69.7,72.9,1.1,1.1,71.03,Insufficient Physical Activity
PHN402,COUNTRY SA,Persons,18+,70.502,256805.3,362977.1,1.09606,69.1,72.4,68.9,72.1,1.1,1.1,70.75,Insufficient Physical Activity
PHN501,PERTH NORTH,Females,18+,62.226,254393.6,410146.1,0.97111,60.5,63.5,60.8,63.7,0.9,1.0,62.02,Insufficient Physical Activity
PHN501,PERTH NORTH,Males,18+,63.17,247423.5,398025.5,0.9785699999999999,60.7,63.6,61.7,64.6,0.9,1.0,62.16,Insufficient Physical Activity
PHN501,PERTH NORTH,Persons,18+,62.725,501964.4,808171.6,0.97516,60.7,63.5,61.3,64.2,0.9,1.0,62.11,Insufficient Physical Activity
PHN502,PERTH SOUTH,Females,18+,65.72,246169.3,375480.9,1.0256399999999999,64.1,67.0,64.3,67.2,1.0,1.1,65.56,Insufficient Physical Activity
PHN502,PERTH SOUTH,Males,18+,66.922,241737.8,366787.7,1.0367,64.5,67.3,65.5,68.4,1.0,1.1,65.91,Insufficient Physical Activity
PHN502,PERTH SOUTH,Persons,18+,66.342,488062.5,742268.6,1.03138,64.3,67.2,64.9,67.8,1.0,1.1,65.75,Insufficient Physical Activity
PHN503,COUNTRY WA,Females,18+,68.574,116888.0,170424.6,1.07018,66.7,70.5,66.8,70.4,1.0,1.1,68.59,Insufficient Physical Activity
PHN503,COUNTRY WA,Males,18+,70.308,115289.5,165804.2,1.08915,67.8,71.3,68.5,72.1,1.1,1.1,69.53,Insufficient Physical Activity
PHN503,COUNTRY WA,Persons,18+,69.443,232254.1,336228.8,1.07959,67.3,70.9,67.6,71.3,1.0,1.1,69.08,Insufficient Physical Activity
PHN601,TASMANIA,Females,18+,65.1887152895444,134802.104162955,204932.0,1.01724374075512,61.8,69.7,61.2,69.2,1.0,1.1,65.78,Insufficient Physical Activity
PHN601,TASMANIA,Males,18+,65.6478053124442,128744.557802694,196158.396642941,1.0145773623183,61.3,70.0,61.3,70.0,0.9,1.1,65.63,Insufficient Physical Activity
PHN601,TASMANIA,Persons,18+,65.4310083040952,263546.661965649,401090.396642941,1.01590077966887,62.3,69.1,62.4,68.5,1.0,1.1,65.71,Insufficient Physical Activity
PHN701,NORTHERN TERRITORY,Females,18+,69.9728671129132,45054.3152798827,65665.0,1.09189850999744,64.1,73.1,65.7,74.3,1.0,1.2,68.61,Insufficient Physical Activity
PHN701,NORTHERN TERRITORY,Males,18+,62.4433016825218,41846.0104330531,68167.3352709434,0.96505222092306,56.0,66.7,57.2,67.7,0.9,1.1,61.39,Insufficient Physical Activity
PHN701,NORTHERN TERRITORY,Persons,18+,66.1711378448358,86900.3257129359,133832.335270943,1.02739224521377,61.2,68.7,62.8,69.6,1.0,1.1,64.93,Insufficient Physical Activity
PHN801,AUSTRALIAN CAPITAL TERRITORY,Females,18+,57.4807488448488,90844.3994348851,158027.678565116,0.89696401772345,53.4,61.6,53.3,61.7,0.8,1.0,57.49,Insufficient Physical Activity
PHN801,AUSTRALIAN CAPITAL TERRITORY,Males,18+,58.4228926838817,87549.0373615286,149975.606013159,0.90291737973732,52.9,63.9,53.4,63.4,0.8,1.0,58.38,Insufficient Physical Activity
PHN801,AUSTRALIAN CAPITAL TERRITORY,Persons,18+,58.0805465710344,178393.436796414,308003.284578276,0.90177538256606,54.6,61.3,54.9,61.3,0.9,1.0,57.92,Insufficient Physical Activity
