Code,Region,Gender,AgeGroup,Age_Standardised_Rate,Number,Population,Rate_Ratio,CI_Proportion_Lower,CI_Proportion_Upper,CI_Standardised_Rate_Lower,CI_Standardised_Rate_Upper,CI_Rate_Ratio_Lower,CI_Rate_Ratio_Upper,Proportion (%),Risk_Factor
PHN205,MURRAY,Males,18+,38.113,93367.92,226272.8,1.18606,38.8,43.7,35.8,40.4,1.1,1.3,41.26,Obesity
PHN205,MURRAY,Persons,18+,37.574,183513.4,460478.2,1.21935,37.5,42.2,35.3,39.8,1.1,1.3,39.85,Obesity
PHN206,WESTERN VICTORIA,Females,18+,35.094,90631.07,248685.8,1.18753,34.3,38.6,33.0,37.2,1.1,1.3,36.44,Obesity
PHN206,WESTERN VICTORIA,Males,18+,36.026,91734.15,236573.4,1.12109,36.5,41.0,33.9,38.1,1.0,1.2,38.78,Obesity
PHN206,WESTERN VICTORIA,Persons,18+,35.56,182318.8,485259.2,1.15399,35.4,39.7,33.4,37.7,1.1,1.2,37.57,Obesity
PHN301,BRISBANE NORTH,Females,18+,29.567,115233.8,391253.3,1.00052,28.3,30.6,28.4,30.7,0.9,1.1,29.45,Obesity
PHN301,BRISBANE NORTH,Males,18+,30.536,118222.5,372283.5,0.95025,30.5,33.0,29.4,31.7,0.9,1.0,31.76,Obesity
PHN301,BRISBANE NORTH,Persons,18+,30.061,233360.1,763536.7,0.97552,29.4,31.7,28.9,31.2,0.9,1.0,30.56,Obesity
PHN302,BRISBANE SOUTH,Females,18+,29.757,129486.0,437353.4,1.00694,28.3,30.9,28.5,31.0,1.0,1.1,29.61,Obesity
PHN302,BRISBANE SOUTH,Males,18+,30.804,134447.8,420437.4,0.9586100000000001,30.6,33.3,29.6,32.0,0.9,1.0,31.98,Obesity
PHN302,BRISBANE SOUTH,Persons,18+,30.285,263788.2,857790.8,0.9828100000000001,29.5,32.0,29.1,31.5,0.9,1.0,30.75,Obesity
PHN303,GOLD COAST,Females,18+,29.141,71076.5,239747.1,0.98611,28.2,31.1,27.8,30.5,0.9,1.0,29.65,Obesity
PHN303,GOLD COAST,Males,18+,30.26,71552.12,223020.8,0.9416599999999999,30.6,33.6,28.9,31.6,0.9,1.0,32.08,Obesity
PHN303,GOLD COAST,Persons,18+,29.683,142601.3,462767.9,0.96328,29.4,32.2,28.3,31.1,0.9,1.0,30.82,Obesity
PHN304,DARLING DOWNS AND WEST MORETON,Females,18+,36.317,77606.85,210474.4,1.22892,35.1,38.7,34.6,38.1,1.2,1.3,36.87,Obesity
PHN304,DARLING DOWNS AND WEST MORETON,Males,18+,37.306,80049.82,201850.5,1.16095,37.8,41.6,35.5,39.1,1.1,1.2,39.66,Obesity
PHN304,DARLING DOWNS AND WEST MORETON,Persons,18+,36.81,157581.8,412324.9,1.19454,36.4,40.0,35.0,38.6,1.1,1.3,38.22,Obesity
PHN305,WESTERN QUEENSLAND,Females,18+,36.69,4564.314,12542.3,1.24156,32.6,40.2,33.0,40.4,1.1,1.4,36.39,Obesity
PHN305,WESTERN QUEENSLAND,Males,18+,37.832,5303.113,13307.66,1.1773099999999999,35.8,43.9,34.1,41.6,1.1,1.3,39.85,Obesity
PHN305,WESTERN QUEENSLAND,Persons,18+,37.298,9849.083,25849.95,1.21038,34.3,41.9,33.6,41.0,1.1,1.3,38.1,Obesity
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Females,18+,31.761,109456.0,328573.7,1.07476,31.6,35.1,30.1,33.5,1.0,1.1,33.31,Obesity
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Males,18+,32.813,112394.5,313184.6,1.02112,34.1,37.7,31.1,34.5,1.0,1.1,35.89,Obesity
PHN306,CENTRAL QUEENSLAND AND SUNSHINE COAST,Persons,18+,32.273,221756.8,641758.3,1.04732,32.8,36.3,30.6,34.0,1.0,1.1,34.56,Obesity
PHN307,NORTHERN QUEENSLAND,Females,18+,34.892,85845.05,242025.5,1.18071,33.4,37.5,32.9,36.9,1.1,1.3,35.47,Obesity
PHN307,NORTHERN QUEENSLAND,Males,18+,36.151,92312.52,238258.9,1.12501,36.6,40.9,34.1,38.2,1.0,1.2,38.74,Obesity
PHN307,NORTHERN QUEENSLAND,Persons,18+,35.525,177986.6,480284.4,1.15284,35.0,39.1,33.5,37.5,1.1,1.2,37.06,Obesity
PHN401,ADELAIDE,Females,18+,29.931,148200.9,485622.2,1.0128300000000001,28.5,32.5,28.0,31.9,0.9,1.1,30.52,Obesity
PHN401,ADELAIDE,Males,18+,31.027,150627.3,460285.6,0.9655400000000001,30.6,34.8,29.1,33.0,0.9,1.0,32.72,Obesity
PHN401,ADELAIDE,Persons,18+,30.489,298737.7,945907.8,0.98944,29.6,33.6,28.5,32.5,0.9,1.1,31.58,Obesity
PHN402,COUNTRY SA,Females,18+,35.688,68691.83,183126.6,1.20764,34.8,40.2,33.0,38.4,1.1,1.3,37.51,Obesity
PHN402,COUNTRY SA,Males,18+,36.67,72174.72,179850.5,1.1411499999999999,37.3,42.9,34.0,39.3,1.0,1.2,40.13,Obesity
PHN402,COUNTRY SA,Persons,18+,36.183,140769.4,362977.1,1.17421,36.1,41.5,33.5,38.8,1.1,1.3,38.78,Obesity
PHN501,PERTH NORTH,Females,18+,25.79,106364.3,410146.1,0.8726900000000001,25.2,26.6,25.2,26.4,0.8,0.9,25.93,Obesity
PHN501,PERTH NORTH,Males,18+,26.701,111609.0,398025.5,0.83092,27.2,28.8,26.1,27.3,0.8,0.9,28.04,Obesity
PHN501,PERTH NORTH,Persons,18+,26.256,217826.3,808171.6,0.85206,26.3,27.6,25.6,26.9,0.8,0.9,26.95,Obesity
PHN502,PERTH SOUTH,Females,18+,27.485,103646.8,375480.9,0.93006,26.5,28.7,26.5,28.5,0.9,1.0,27.6,Obesity
PHN502,PERTH SOUTH,Males,18+,28.43,109031.0,366787.7,0.88473,28.5,30.9,27.4,29.5,0.8,0.9,29.73,Obesity
PHN502,PERTH SOUTH,Persons,18+,27.966,212528.1,742268.6,0.90753,27.6,29.7,26.9,29.0,0.9,1.0,28.63,Obesity
PHN503,COUNTRY WA,Females,18+,31.687,56133.53,170424.6,1.07224,31.1,34.8,29.9,33.5,1.0,1.1,32.94,Obesity
PHN503,COUNTRY WA,Males,18+,32.674,59263.56,165804.2,1.0168000000000001,33.8,37.7,30.9,34.4,0.9,1.1,35.74,Obesity
PHN503,COUNTRY WA,Persons,18+,32.178,115311.0,336228.8,1.04422,32.5,36.1,30.4,34.0,1.0,1.1,34.3,Obesity
PHN601,TASMANIA,Females,18+,34.2997464051915,73415.9445156397,204932.0,1.16126783563702,32.5,39.2,30.8,37.8,1.0,1.3,35.82,Obesity
PHN601,TASMANIA,Males,18+,33.6249977847579,66550.8470945737,196492.0,1.0456447282971,29.8,38.0,29.6,37.6,0.9,1.2,33.87,Obesity
PHN601,TASMANIA,Persons,18+,33.9953594210596,139966.791610213,401424.0,1.10223268752695,32.0,37.7,31.3,36.7,1.0,1.2,34.87,Obesity
PHN701,NORTHERN TERRITORY,Females,18+,26.9532898813127,17127.9735808091,65665.0,0.91254285772304,22.5,29.7,23.3,30.7,0.8,1.1,26.08,Obesity
PHN701,NORTHERN TERRITORY,Males,18+,33.7058332349553,22656.8458848072,68222.0000000002,1.04815848793805,28.4,38.0,28.7,38.7,0.9,1.2,33.21,Obesity
PHN701,NORTHERN TERRITORY,Persons,18+,30.2521143798331,39784.8194656163,133887.0,0.98086532703636,26.4,33.0,27.0,33.5,0.9,1.1,29.72,Obesity
PHN801,AUSTRALIAN CAPITAL TERRITORY,Females,18+,27.3975765939882,43412.1503985491,159254.0,0.92758483101159,23.2,31.3,23.8,31.0,0.8,1.1,27.26,Obesity
PHN801,AUSTRALIAN CAPITAL TERRITORY,Males,18+,24.7712063814335,37860.3840398267,151320.0,0.77031622521167,20.2,29.8,20.7,28.9,0.6,0.9,25.02,Obesity
PHN801,AUSTRALIAN CAPITAL TERRITORY,Persons,18+,26.1877977502113,81272.5344383758,310574.0,0.84908785158324,22.8,29.5,23.4,29.0,0.8,0.9,26.17,Obesity
