AgeGroup,CI_Proportion_Lower,CI_Proportion_Upper,Code,Gender,Number,Population,Proportion (%),Region,Risk_Factor,Source_File,Year
55-74,11.4,13.8,PHN104,Females,5018.409,39790.99,12.61,NEPEAN BLUE MOUNTAINS,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.9,5.7,PHN104,Females,482.549,10063.37,4.8,NEPEAN BLUE MOUNTAINS,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,20.5,24.2,PHN104,Males,20070.82,89658.34,22.39,NEPEAN BLUE MOUNTAINS,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,12.6,15.4,PHN104,Males,5277.549,37655.39,14.02,NEPEAN BLUE MOUNTAINS,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.1,6.0,PHN104,Males,397.573,7882.315,5.04,NEPEAN BLUE MOUNTAINS,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,16.8,19.8,PHN104,Persons,33124.68,180989.9,18.3,NEPEAN BLUE MOUNTAINS,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,12.1,14.6,PHN104,Persons,10351.48,77446.37,13.37,NEPEAN BLUE MOUNTAINS,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.1,5.8,PHN104,Persons,888.449,17945.69,4.95,NEPEAN BLUE MOUNTAINS,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,12.8,15.1,PHN105,Females,35051.51,251046.5,13.96,SOUTH WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,13.2,15.6,PHN105,Females,13390.06,92892.63,14.42,SOUTH WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.8,6.6,PHN105,Females,1488.714,26203.16,5.68,SOUTH WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,19.8,22.8,PHN105,Males,52110.66,244933.2,21.28,SOUTH WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,13.3,15.9,PHN105,Males,13047.56,89374.39,14.6,SOUTH WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.6,6.4,PHN105,Males,1180.422,21508.02,5.49,SOUTH WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,16.3,18.8,PHN105,Persons,87135.32,495979.7,17.57,SOUTH WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,13.4,15.8,PHN105,Persons,26613.89,182267.0,14.6,SOUTH WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.8,6.5,PHN105,Persons,2696.082,47711.18,5.65,SOUTH WESTERN SYDNEY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,13.4,15.8,PHN106,Females,20109.26,138024.6,14.57,SOUTH EASTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,11.6,13.7,PHN106,Females,9621.789,76040.72,12.65,SOUTH EASTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.0,5.7,PHN106,Females,1257.742,25854.34,4.86,SOUTH EASTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,21.5,24.9,PHN106,Males,31584.37,135994.0,23.22,SOUTH EASTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,13.5,16.0,PHN106,Males,10886.55,73873.3,14.74,SOUTH EASTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.4,6.2,PHN106,Males,1168.737,22064.62,5.3,SOUTH EASTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,17.5,20.2,PHN106,Persons,51632.33,274018.6,18.84,SOUTH EASTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,12.7,14.8,PHN106,Persons,20593.92,149914.0,13.74,SOUTH EASTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.3,5.9,PHN106,Persons,2444.581,47918.96,5.1,SOUTH EASTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,16.2,19.3,PHN107,Females,11602.98,65391.73,17.74,WESTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,13.5,16.2,PHN107,Females,4998.952,33668.64,14.85,WESTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.7,6.7,PHN107,Females,663.631,11669.59,5.69,WESTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,25.9,30.2,PHN107,Males,17670.67,63015.55,28.04,WESTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,16.4,19.8,PHN107,Males,6159.47,34010.07,18.11,WESTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.5,8.0,PHN107,Males,662.641,9817.424,6.75,WESTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,21.0,24.6,PHN107,Persons,29253.32,128407.3,22.78,WESTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,15.1,18.0,PHN107,Persons,11189.19,67678.71,16.53,WESTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.2,7.3,PHN107,Persons,1334.573,21487.01,6.21,WESTERN NSW,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,15.4,17.5,PHN108,Females,46687.67,283920.6,16.44,HUNTER NEW ENGLAND AND CENTRAL COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,13.2,15.1,PHN108,Females,21212.78,150142.8,14.13,HUNTER NEW ENGLAND AND CENTRAL COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.9,6.7,PHN108,Females,3112.049,53696.82,5.8,HUNTER NEW ENGLAND AND CENTRAL COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,24.2,27.0,PHN108,Males,70602.97,275830.5,25.6,HUNTER NEW ENGLAND AND CENTRAL COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,15.0,17.4,PHN108,Males,23121.9,142852.1,16.19,HUNTER NEW ENGLAND AND CENTRAL COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.9,6.8,PHN108,Males,2551.614,43627.2,5.85,HUNTER NEW ENGLAND AND CENTRAL COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,19.8,22.1,PHN108,Persons,117222.4,559751.0,20.94,HUNTER NEW ENGLAND AND CENTRAL COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,14.2,16.2,PHN108,Persons,44547.26,292994.9,15.2,HUNTER NEW ENGLAND AND CENTRAL COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.0,6.8,PHN108,Persons,5717.705,97324.01,5.88,HUNTER NEW ENGLAND AND CENTRAL COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,14.9,17.6,PHN109,Females,17472.19,107251.0,16.29,NORTH COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,11.1,13.5,PHN109,Females,9038.848,73459.87,12.3,NORTH COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.6,5.2,PHN109,Females,1152.104,26310.8,4.38,NORTH COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,24.2,28.0,PHN109,Males,26124.63,100104.5,26.1,NORTH COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,13.9,16.5,PHN109,Males,10792.34,70909.89,15.22,NORTH COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.2,5.9,PHN109,Males,1126.747,22231.7,5.07,NORTH COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,19.5,22.5,PHN109,Persons,43579.38,207355.5,21.02,NORTH COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,12.6,14.9,PHN109,Persons,19896.2,144369.8,13.78,NORTH COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.9,5.5,PHN109,Persons,2293.906,48542.5,4.73,NORTH COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,14.2,17.3,PHN110,Females,8214.425,52116.9,15.76,MURRUMBIDGEE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,12.0,14.8,PHN110,Females,3814.518,28495.6,13.39,MURRUMBIDGEE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.0,6.0,PHN110,Females,514.307,10285.85,5.0,MURRUMBIDGEE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,23.7,28.2,PHN110,Males,13209.67,50864.7,25.97,MURRUMBIDGEE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,15.4,18.7,PHN110,Males,4939.041,28961.71,17.05,MURRUMBIDGEE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.9,7.1,PHN110,Males,526.969,8809.615,5.98,MURRUMBIDGEE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,19.0,22.6,PHN110,Persons,21390.68,102981.6,20.77,MURRUMBIDGEE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,13.8,16.7,PHN110,Persons,8770.541,57457.31,15.26,MURRUMBIDGEE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.5,6.4,PHN110,Persons,1047.345,19095.47,5.48,MURRUMBIDGEE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,12.6,14.9,PHN201,Females,69990.45,507883.6,13.78,NORTH WESTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,13.2,15.7,PHN201,Females,20097.67,139413.0,14.42,NORTH WESTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.1,7.1,PHN201,Females,2628.363,42874.37,6.13,NORTH WESTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,21.1,24.4,PHN201,Males,115060.5,505188.8,22.78,NORTH WESTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,14.3,17.1,PHN201,Males,20534.63,131028.4,15.67,NORTH WESTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.2,7.3,PHN201,Males,2114.165,33961.97,6.22,NORTH WESTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,16.9,19.5,PHN201,Persons,184698.1,1013072.0,18.23,NORTH WESTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,13.8,16.4,PHN201,Persons,40871.0,270441.4,15.11,NORTH WESTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.2,7.2,PHN201,Persons,4789.281,76836.33,6.23,NORTH WESTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,9.9,11.7,PHN202,Females,42395.88,392872.6,10.79,EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,9.0,10.9,PHN202,Females,15548.91,156465.8,9.94,EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.0,4.4,PHN202,Females,1977.75,53055.7,3.73,EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,16.6,19.4,PHN202,Males,69307.65,385234.0,17.99,EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,10.0,12.0,PHN202,Males,15720.1,142829.4,11.01,EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.4,4.7,PHN202,Males,1758.483,43310.47,4.06,EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,13.2,15.4,PHN202,Persons,111500.4,778106.6,14.33,EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,9.6,11.4,PHN202,Persons,31458.22,299295.2,10.51,EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.3,4.6,PHN202,Persons,3766.854,96366.17,3.91,EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,11.7,13.8,PHN203,Females,51588.68,405641.1,12.72,SOUTH EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,10.2,12.5,PHN203,Females,17129.66,150950.5,11.35,SOUTH EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.3,4.9,PHN203,Females,2053.422,50405.29,4.07,SOUTH EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,19.7,22.8,PHN203,Males,84753.74,398792.1,21.25,SOUTH EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,12.1,14.3,PHN203,Males,18575.4,140629.2,13.21,SOUTH EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.8,5.2,PHN203,Males,1820.138,40451.42,4.5,SOUTH EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,15.7,18.1,PHN203,Persons,136083.8,804433.1,16.92,SOUTH EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,11.2,13.4,PHN203,Persons,35879.33,291579.7,12.3,SOUTH EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.6,5.0,PHN203,Persons,3905.506,90856.71,4.3,SOUTH EASTERN MELBOURNE,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,16.7,20.6,PHN204,Females,11010.15,59107.64,18.63,GIPPSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,13.1,16.5,PHN204,Females,5643.796,38148.87,14.79,GIPPSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.6,6.8,PHN204,Females,682.319,11992.33,5.69,GIPPSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,26.7,32.1,PHN204,Males,16702.9,56798.62,29.41,GIPPSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,16.4,20.3,PHN204,Males,6854.922,37295.98,18.38,GIPPSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.5,8.1,PHN204,Males,739.042,10881.26,6.79,GIPPSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,21.7,26.1,PHN204,Persons,27695.54,115906.3,23.9,GIPPSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,14.9,18.3,PHN204,Persons,12536.15,75444.85,16.62,GIPPSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.1,7.4,PHN204,Persons,1428.326,22873.59,6.24,GIPPSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,15.8,18.8,PHN205,Females,23238.54,134518.1,17.27,MURRAY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,13.2,16.0,PHN205,Females,10919.22,74816.07,14.6,MURRAY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.9,7.0,PHN205,Females,1478.976,24871.2,5.95,MURRAY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,25.8,30.0,PHN205,Males,36499.6,130744.6,27.92,MURRAY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,16.8,20.1,PHN205,Males,13628.63,73845.38,18.46,MURRAY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.6,8.0,PHN205,Males,1478.826,21682.82,6.82,MURRAY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,20.8,24.2,PHN205,Persons,59667.29,265262.8,22.49,MURRAY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,15.2,17.9,PHN205,Persons,24610.32,148661.4,16.56,MURRAY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.4,7.4,PHN205,Persons,2976.247,46554.02,6.39,MURRAY,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,14.9,17.8,PHN206,Females,23709.4,145366.9,16.31,WESTERN VICTORIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,12.9,15.5,PHN206,Females,10987.62,77264.27,14.22,WESTERN VICTORIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.9,6.9,PHN206,Females,1541.563,26054.59,5.92,WESTERN VICTORIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,24.3,28.4,PHN206,Males,37324.87,141660.4,26.35,WESTERN VICTORIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,15.6,18.7,PHN206,Males,12625.15,73715.94,17.13,WESTERN VICTORIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.4,7.6,PHN206,Males,1377.41,21197.08,6.5,WESTERN VICTORIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,19.6,22.9,PHN206,Persons,60959.65,287027.3,21.24,WESTERN VICTORIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,14.4,17.0,PHN206,Persons,23705.24,150980.2,15.7,WESTERN VICTORIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.2,7.2,PHN206,Persons,2942.658,47251.67,6.23,WESTERN VICTORIA,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,10.6,12.2,PHN301,Females,30479.51,266869.6,11.42,BRISBANE NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,9.6,11.3,PHN301,Females,9945.735,95305.79,10.44,BRISBANE NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.0,4.4,PHN301,Females,1077.838,29077.86,3.71,BRISBANE NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,18.2,20.5,PHN301,Males,50135.67,259772.0,19.3,BRISBANE NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,11.1,12.9,PHN301,Males,10683.4,89289.27,11.96,BRISBANE NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.5,5.0,PHN301,Males,986.981,23222.16,4.25,BRISBANE NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,14.4,16.1,PHN301,Persons,80460.71,526641.6,15.28,BRISBANE NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,10.4,12.1,PHN301,Persons,20733.08,184595.1,11.23,BRISBANE NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.3,4.6,PHN301,Persons,2080.728,52300.02,3.98,BRISBANE NORTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,11.5,13.2,PHN302,Females,37397.05,302712.6,12.35,BRISBANE SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,10.5,12.3,PHN302,Females,12016.93,105533.9,11.39,BRISBANE SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.3,4.8,PHN302,Females,1178.202,29106.88,4.05,BRISBANE SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,19.3,21.6,PHN302,Males,60709.73,296940.5,20.44,BRISBANE SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,12.1,14.0,PHN302,Males,12989.24,99803.99,13.02,BRISBANE SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.8,5.3,PHN302,Males,1070.89,23692.88,4.52,BRISBANE SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,15.4,17.2,PHN302,Persons,97939.13,599653.2,16.33,BRISBANE SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,11.4,13.1,PHN302,Persons,25129.56,205337.9,12.24,BRISBANE SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.6,5.0,PHN302,Persons,2266.7,52799.75,4.29,BRISBANE SOUTH,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,13.4,16.4,PHN303,Females,23147.26,155019.2,14.93,GOLD COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,10.7,13.5,PHN303,Females,7849.251,64973.2,12.08,GOLD COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,2.5,4.1,PHN303,Females,657.332,19754.68,3.33,GOLD COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,21.8,26.1,PHN303,Males,35046.39,146293.2,23.96,GOLD COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,12.6,15.4,PHN303,Males,8333.708,59726.04,13.95,GOLD COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,3.1,4.5,PHN303,Males,646.517,17001.58,3.8,GOLD COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,17.6,21.0,PHN303,Persons,58158.69,301312.4,19.3,GOLD COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,11.7,14.4,PHN303,Persons,16267.65,124699.2,13.05,GOLD COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,2.8,4.3,PHN303,Persons,1312.34,36756.26,3.57,GOLD COAST,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,14.8,17.1,PHN304,Females,21495.25,134794.4,15.95,DARLING DOWNS AND WEST MORETON,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,12.5,14.7,PHN304,Females,7899.979,58158.76,13.58,DARLING DOWNS AND WEST MORETON,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.3,6.0,PHN304,Females,906.769,17521.23,5.18,DARLING DOWNS AND WEST MORETON,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,23.8,26.9,PHN304,Males,32851.77,129554.7,25.36,DARLING DOWNS AND WEST MORETON,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,14.9,17.3,PHN304,Males,9221.856,57278.17,16.1,DARLING DOWNS AND WEST MORETON,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.9,7.0,PHN304,Males,890.429,15017.62,5.93,DARLING DOWNS AND WEST MORETON,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,19.3,21.8,PHN304,Persons,54306.22,264349.2,20.54,DARLING DOWNS AND WEST MORETON,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,13.8,16.0,PHN304,Persons,17184.39,115436.9,14.89,DARLING DOWNS AND WEST MORETON,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,4.7,6.4,PHN304,Persons,1808.949,32538.85,5.56,DARLING DOWNS AND WEST MORETON,Current Smoker,PHN_CS_AGE_SEX,2017–2018
18-54,17.1,23.5,PHN305,Females,1829.388,9026.893,20.27,WESTERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
55-74,16.6,23.1,PHN305,Females,562.279,2831.063,19.86,WESTERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
75+,5.7,11.0,PHN305,Females,57.006,684.34,8.33,WESTERN QUEENSLAND,Current Smoker,PHN_CS_AGE_SEX,2017–2018
